tweet,sentiment,sentiment_score
Deal gagnant pour toutes les parties. On peut regarder les encore les prestations et stats (qui n’expliquent pas to… ,neutral,0.0
The treatment of some of our players and their loved ones this last few days is disgusting and unacceptable! #MUFC,neutral,-0.125
Must win game tomorrow. Make or break for this team. Will be interesting to see if a corner is turned and they actu… ,positive,0.3
"#LFC  #mancity got therir mojo back. it’s going to be a #slugfest between these two for Premier league title , watc… ",neutral,0.0
(Photo) Fernandes’ brother takes hilarious dig at Jurgen Klopp  #MUFC #ManUTD #United ,positive,0.5
"Statistical comparison between Cavani and Martial this season.
[@utdrealm on IG]
#MUFC ",neutral,0.0
Happy Bruno Fernandes Day.. 1 year since he signed and told KdB to come outside! ❤️🎉 @B_Fernandes8 #MUFC ,positive,0.4
"@davvydmoore @philip_george70 @united_focus_ 100% quick follow back, no cheating
Help me to 6.3K, need your support… ",neutral,0.16666666666666666
"@davvydmoore @united_focus_ 100% quick follow back, no cheating
Help me to 6.3K, need your support🔴🙏

#GainSZN #GainSNZ #IFB #GGMU #MUFC",neutral,0.16666666666666666
"Since joining, Bruno Fernandes has:

51 games
28 goals 
18 assists
4x Premier League Player of the Month

What an i… ",neutral,0.0
"Today is OTD for Bruno Fernandes💃

On this day, this excellent Portuguese player joined Manchester United❤

What a… ",positive,1.0
"Arsenal receive Partey injury boost ahead of Manchester United clash. @goal  understand Partey has recovered well,… ",neutral,0.0
"Good move for Jesse Lingard to West Ham, I think he'll do well there. Good luck to him #MUFC",positive,0.7
"#MUFC 👊
#GGMU 
#ARSMUN ",neutral,0.0
🔴🏆Are Man United’s title hopes over after the loss to Sheffield United? @TyroneMc__ @Sarfo15M and @BigTeezo discuss… ,neutral,0.0
Nervous for the arsenal game tomorrow. We just never seem to turn up against them. Need a big performance after the… ,neutral,-0.2
@The_Notorius_ @olesblackmagic @alexis_xh @SkySportsPL #mufc fans really are something else.,neutral,0.2
"@ManUtd_ID  Pakai kode promo "" MU "" buat nginep di RedDoorz seluruh Indonesia, diskon hingga 35% berlaku sampai kap… ",neutral,0.0
"On new Pitch to Post Podcast I chat to:

Jamie Redknapp - #afc v #mufc &amp; player power vs patience w/managers at… ",neutral,0.13636363636363635
"Last year ON THIS DAY we ✍ @B_Fernandes8 &amp; rest is History 🦁❤🖤

#MUFC",neutral,0.0
"THE BEST SIGNING SINCE CR7. 

MAGNIFICO #MUFC ",positive,1.0
Fabrizio Romano on Pogba: “At the moment (a move away) is still the most likely because Mino Raiola was planning to… ,positive,0.25
It's not often I agree with @skysports. But in this case..... Shame some so called #united fans still don't get it… ,neutral,0.0
"One game won't define our season 👊
Paul Pogba's representatives and the club have both agreed to put off any contra… ",negative,-0.4
"Anthony Martial will be at  #MUFC 6 years in September! 😳Wow! 
I don't think he's going to cut it as the level of c… ",neutral,0.0
@ManUtd @_Nick so as soon as he goes hes taken off but for @ManUtdWomen you still have lotta as 3 and maria not up… ,neutral,0.0
@ManUtd #GGMU  #MUFC 🔴,neutral,0.0
"The next destination of Jesse #Lingard  will be West Ham United!
#WHUFC #MUFC #TransferTalk",neutral,0.0
Can the #mufc #MUFC_FAMILY #MUFC #ManUtd  #ManchesterUnited community give me some retweets so @masongreenwood can… ,neutral,0.0
"@angry_rantman For Example : @B_Fernandes8 , #bruno #MUFC",neutral,0.0
#MUFC v Arsenal past games (our most faced opponent) - all the results and a bit of an overview of home v away form… ,neutral,0.125
Jesse Lingard ‘rejected two clubs’ for West Ham. Reports say he rejected West Brom and Newcastle in January. #MUFC [@SkyFootball],neutral,0.0
#MUFC in 2020/21 after losing at home to Sheffield United in the league ,neutral,0.0
#mufc #ManUtd ,neutral,0.0
Happy anniversary. #mufc ,positive,0.8
"If you think back to where we were at this point, you’ll realize why he is our best signing post Fergie. Hopefully… ",positive,0.5
@ManUtd Yes💪and haters please 🤫 #MUFC,neutral,0.0
1 defeat in 14 league games for Ole and you’d think our season is over the way people go on #crisis #MUFC,neutral,0.0
Solskjaer has been impressed with Amad Diallo since joining the squad and is planning to give the teenager his firs… ,positive,1.0
United could sign Kalidou Koulibaly this summer. He is reportedly ‘keen’ to move to United. #MUFC [@marca],neutral,0.0
One more game before Bruno Fernandes completes his first year at #MUFC. 44 goal involvements. 8th to 3rd and curren… ,neutral,0.0875
"#Friday edition of KICK-OFF PODCAST with me &amp; @healer_fisayor is now available on #SpreakerPodcast.
We discussed… ",positive,0.4
"کینگ رفت یه حا دیگ پادشاهی کنه🥺🖤
#JLINGZ 
#kinglingard
#mufc ",neutral,0.0
"That's beautiful from @GNev2 almost made me emotional.
@AnthonyMartial has everything but the will. Nothing would m… ",positive,0.425
"One game won't define our season 👊

#MUFC",negative,-0.4
"Throw🔙 Bastian #Schweinsteiger  @ManUtd 😎 

#tb #football #mufc
",neutral,0.0
"Ben White : ""Il n'a rien fait de tout le match, mais c'est pour ça qu'il est à Man United et qu'il est l'un des mei… ",neutral,0.0
"This weekend we'll be talking to former players Craig Rocastle and Chris Turner, if anyone has any questions please… ",neutral,0.0
West Ham take Jesse Lingard on loan  #MUFCFamily #MUFC #RedDevils ,neutral,0.0
Jesse Lingard will join West Ham United on loan from Manchester United. #MUFC ,neutral,0.0
"Lingard sur Instagram. L'anglais est en route pour Londres.

#MUFC ",neutral,0.0
So gassed for @JesseLingard to join West Ham!! Finally gets a good chance at starting and playing regularly and sho… ,neutral,0.175
"""I can imagine Roy Keane in that side - he'd go crackers!"" 

John Giles wasn't impressed again by the attitude of s… ",positive,1.0
"Ben White : ""S'il tire et que je bloque son tir en me jetant, c'est parfait, n'est-ce pas ? Mais, il a fait une fei… ",neutral,0.0
"Ben White : ""Je pensais que j'étais en bonne position. Le timing de la course était incroyable et puis il est telle… ",neutral,0.0
"カマヴィンガは大金積んでも損はないぞ👍

#mufc ",neutral,0.0
"Paving the way for Lingard loan 

Benrahma joins West Ham permanently - Most expensive winter transfer so far… ",neutral,0.0
#MUFC #Maguire ,neutral,0.0
"@UtdOptimist No need now.Tell him,jack @UtdOptimist 
#MUFC",neutral,0.0
"We talk everything @ManUtd #MUFC with our guest @yusafg7 this week.  The team, the manager, the fans, the league, t… ",neutral,0.0
"Paving the way for Lingard loan 

Benrahma joins West Ham permanently - Most expensive winter transfer so far… ",neutral,0.0
"Review:

Zirkzee one step away from Parma. Bayern has accepted the agreement. 🟡🔵 #Zirkzee #Parma #Bayern… ",neutral,0.0
We are still going to win the PL this season #21 #MUFC,positive,0.8
"Pundit Slams Martial And Offers Shocking Backup Signing To Cavani #MUFC
",negative,-0.3
"Some Manchester United fans are ungrateful, worst than Chelsea fans now. #MUFC #CFC ",negative,-1.0
"Old Trafford, Manchester - June 1998

Submitted by Danny Salmon
@DannySalmon10 

""With my Grandad at Old Trafford i… ",neutral,0.1
So #MUFC have loaned @JesseLingard to #WHUFC and received £2Million and @WestHam are going to pay all of his wages… ,neutral,0.0
🇨🇵⚽️ L'option la plus probable pour Paul #Pogba est un départ de Manchester United cet été. (@FabrizioRomano)… ,neutral,0.0
"Dortmund cocked up the sale of Sancho now they’re in a mess   via @YouTube
#Dortmund #BVB… ",neutral,-0.175
Facundo Pellistri’s loan move to Deportivo Alavés could be finalised today. #MUFC [@JonathanShrager],neutral,0.0
"Harry Maguire x Bruno Fernandes 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🇵🇹 
#MUFC 🔴⚫️ #ARSMUN ",neutral,0.0
West Ham United are set to complete the signing of Jesse Lingard on loan today. Lingard travelled to London from Ma… ,neutral,0.1
Arsenal vs Man Utd set up for a classic between two teams transformed since previous clash #mufc #ManUtd ,neutral,0.0
Thomas Partey gives injury boost to Arsenal ahead of Man Utd clash #mufc #ManUtd ,neutral,0.0
Manchester United have major concerns over Marcus Rashford's recent form #mufc #ManUtd ,neutral,0.03125
"Luke Shaw is the best left-back at United, but it doesn't mean Alex Telles should miss out #mufc ",positive,0.34375
"I have no sympathy for Jurgen Klopp &amp; his defensive injuries

I remember a few times @manutd entire defence was out… ",neutral,-0.1
Jesse Lingard on verge of joining West Ham on loan and could make debut v Liverpool  #MUFC… ,neutral,0.0
"One year on for our Portuguese Magnifico 💪🏾 #GGMU #MUFC
#Bruno ",neutral,0.0
"Man United faced a shocking defeat to Sheffield United with an awful performance 

The United Cast: #ManUnited 1-2… ",negative,-1.0
"Of course, the first team will be better served having James &amp; Mata on the bench v Arsenal even though they won’t g… ",positive,0.375
Ig Lingard: “London bound #HammerTime ⚒” #MUFC ,neutral,0.0
"Anyone know anything about martial supposedly falling out with ole?

#mufc #Martial",neutral,0.0
"Cleaner roster.
Work in progress 🏗🚜
Finish season strong and get the targets in summer.
Tight 25 man squad could be… ",neutral,0.12738095238095237
All the best Jesse! 🔴 #MUFC #WHUFC ,positive,1.0
All the best Jesse! 🔴 #MUFC #WHUFC ,positive,1.0
"Casey presser later today 
I have no questions 
I'm not bothered what they ask 

It's just one of them I look at he… ",neutral,0.0
All the best Jesse! 🔴 #MUFC #WHUFC ,positive,1.0
Bloody hell! Never thought I’d see the day where Shaw and 34yo Cavani will become our most important players. #mufc,neutral,-0.033333333333333326
Dimitar Berbatov on Gary Neville soccer box is a must watch the guy is amazing to listen to!! #mufc #garyneville #berbatov #soccerbox,positive,0.9375000000000001
One year ago today already!! #MUFC ,neutral,0.0
"Whatever the future holds, good luck and thank you for the memories @JesseLingard #ManchesterUnited #MUFC ",positive,0.35
"The Sheffield defeat is an eye opener. Make no mistake, this team is no where good enough to win the league. To do… ",positive,0.5
West Ham United are set to complete the signing of Jesse Lingard on loan today. Lingard travelled to London from Ma… ,neutral,0.1
It's not enough that Axel and Anthony had to suffer that racist drivel but now people going after his wife? TF is wrong with people? #MUFC,negative,-0.25
" 

1986 e 2000 na história dos Red Devils, @mufcrod, @MUFCuriosidades, @mufcportugal,… ",neutral,0.0
الفريق يمر بمرحله صعبه يا يواصل تدني المستوى والدخول في دوامه سوداء أو العوده سريعاً للمسار الصحيح اللاعبين بحاجه ل… ,neutral,0.0
"🚨 Marcos Rojo to Boca Juniors na Done Deal ✅ 
Dem go announce am soon. 
#MUFC 🔴⚫️ #MUIP ",neutral,0.0
West Ham United are set to complete the signing of Jesse Lingard on loan today. Lingard travelled to London from Ma… ,neutral,0.1
"Fantastic #utdpodcast from Thomas Kuszack nice fella, met him  at Gib Airport he was playing for Brighton at the ti… ",positive,0.5
West Ham United are set to complete the signing of Jesse Lingard on loan today. Lingard travelled to London from Ma… ,neutral,0.1
Looking forward to going live on the @UnitedDailyPod at 12.30pm. Chatting with fans about a lad that grew up as a M… ,neutral,0.13636363636363635
".@ManUtd 
Academy 💪
#MUFC ",neutral,0.0
"All I want for my Birthday this year is to hear from my idol and hero 🙏 @Ibra_official. 
I beg you, do your thing a… ",neutral,0.0
"#MUFC won 12 games this season but they are yet to register a win a big6 fixture.
Wounded by Sheffield in the midwe… ",positive,0.8
Great move. Good luck Jesse! #MUFC #WHUFC ,positive,0.8375
"We want you to pick your 𝘼𝙍𝙎𝙀𝙉𝘼𝙇 𝙭 𝙈𝘼𝙉 𝙐𝙏𝘿 Combined XI! 🔴👊🏴󠁧󠁢󠁥󠁮󠁧󠁿

Who will make the team❓👀

Head over to our Insta… ",neutral,0.0
#MUFC,neutral,0.0
"Do not go near Ramos #MUFC !!! Slow 35yo never tested in the PL. If you are buying a CB, buy someome who is an impr… ",neutral,-0.05234375000000002
"PSG’s new kit looks like Fred’s heat map after every game 

#MUFC #PSG ",neutral,-0.13181818181818183
@talkSPORT #MUFC ,neutral,0.0
#MUFC 1-2 #SUFC ,neutral,0.0
Pellesrti on loan to Deportivo Alaves to be a done deal soon!: Pellesrti to Deportivo Alaves on loan will be done d… ,neutral,0.0
imagine the scenes if Lingard scores the winner against Liverpool 😍 #TransferTalk #MUFC,neutral,0.0
"'Why make about digs around homelessness or disasters? Munich, Heysel, Hillsborough - all of those things are off t… ",neutral,0.0
"West Ham will pay £1.5million loan fee for Jesse Lingard and his £80,000 p/w wages. [men] #mufc",neutral,0.0
Fernandes: 'Van De Beek Shouldn't Be Happy'! | Man United News  #MUFC #RedDevils #MUFCFamily ,positive,1.0
"West Ham have agreed a deal to sign Jesse Lingard on loan from #MUFC for the rest of the season.
West Ham will repo… ",neutral,0.0
Why Westham United #whufc decided to sign Jesse Lingard 🐐 #MUFC ,neutral,0.0
Telles keeps giving me Gabrielle Heinze vibes. Dude would rather cross from his own half than overlap. #mufc,neutral,0.14444444444444446
@flex making sure this didn't turn into a 12 round bout @KGthaComedian #MUFC ,neutral,0.15
"“The players are sick of it, we as a club are sick of it”

Manchester United Director of Communications Charlie Bro… ",negative,-0.7142857142857143
"Romano Pogba Update! Lingard Goes! We're LIVE 

#mufc ",neutral,0.13636363636363635
📝 — Manchester United are ready to hand a debut to new signing Amad Diallo on Saturday when the Under-23s play Live… ,neutral,0.16818181818181818
"Exclusive: Contrary to reports, Man United have not expressed interest in signing Facundo Medina… ",neutral,0.0
"🏴󠁧󠁢󠁥󠁮󠁧󠁿 Jesse Lingard joins West Ham United on loan for the rest of the season. 

🤔 Man Utd &amp; West Ham fans; how ar… ",neutral,0.0
"The other top 4 side is Manchester United. For #MUFC it’s only interest at this moment of time, nothing serious.… ",neutral,0.125
"A year of Bruno Fernandes at #MUFC

@mjcritchley on a signing that turned Manchester United around
",neutral,0.0
It's one rule for one and one for another when it comes to United fanbase. You can't force someone to be what they… ,neutral,0.0
"On 29th January 2020, @B_Fernandes8 signed for @ManUtd. 

One year later, @bongujju, alongside @Kaus_Pandey17 and… ",neutral,0.0
New podcast out now where myself and @BradMorris_96 talk midweek games as #mufc lose and #mcfc go top of the table… ,positive,0.3181818181818182
@theutdjournal @RobDawsonESPN Can’t be that impressed then if he’s got to wait till the end of the season for he’s… ,positive,1.0
"@ManUtd I genuinely wish @JesseLingard all the best on his loan to @WestHam 
Deserves a bit of luck and hope he get… ",positive,0.7
There'll never be another #MUFC v #ARS clash like it ,neutral,0.0
"BoyleSports Enhanced Free Bet No-Lose offer
Arsenal v Manchester United

🔵New Customers❗️Mobile Only❗️
🔵Bet £10 or… ",positive,0.4
Just got racially abused by a Man Utd fan who couldn't take a bit of banter on FB for losing to Sheffield Utd whils… ,neutral,0.0
"Why are #ManUtd loaning #WestHamUnited Jesse Lingard 
when they are competing with each other for Champions League… ",neutral,-0.125
Amad Diallo 'set for United debut tomorrow' - but not in the first-team against Arsenal #mufc… ,neutral,0.0
"Cristiano Ronaldo inspired by ""circus"" insult in fiery Man Utd training ground bust-up #mufc #ManUtd ",neutral,0.0
Bruno Fernandes' views on 18 Man Utd team-mates after one year at club #mufc #ManUtd ,neutral,0.0
"Follow @15MOFPod for our latest podcasts! 

- Was Lampard's sacking harsh? #CFC
- Is Solskjaer the most unfairly tr… ",neutral,0.10625000000000001
I needed some time off football twitter to process the chastening defeat to Sheffield. And the only question I want… ,neutral,0.0
#MUFC before Watneys Cup Final ,neutral,0.0
"""I can’t really remember Aaron Ramsdale having to make any saves. They just weren’t at it."" #MUFC
",neutral,0.2
"🚨 NEW VIDEO IS LIVE 🚨

PREVIEW to #AFC vs #MUFC game!

Link below 👇🏼 

",neutral,-0.07575757575757576
"Arsenal's Thomas Partey has recovered well from the Southampton game. He will have one last check today, but is exp… ",neutral,-0.2
"Solskjær believes Rashford will score more if he develops a broader repertoire when he has chances to score, and ha… ",positive,0.5
"🇩🇪 @BSchweinsteiger y su primer gol en el Teatro de los Sueños.

#MUFC #GoalOfTheDay 

",neutral,0.0
Solskjaer has been impressed with Amad Diallo since joining the squad and is planning to give the teenager his firs… ,positive,1.0
"📝 — Arsenal's Thomas Partey has recovered well from the Southampton game. He will have one last check today, but is… ",neutral,-0.2
"Gol United pertama di Old Trafford untuk @BSchweinsteiger #OnThisDay tahun 2017 ⚽👏

#MUFC #GoalOfTheDay

 ",neutral,0.1
Like if Manchester United are the biggest team in the world! #MUFC,neutral,0.0
‘Ronaldo’s rise sparked by circus jibe from Van Nistelrooy’ – Ferdinand lifts the lid on Man Utd training ground in… ,neutral,0.0
"Humanity &gt; Football results

Fully behind these two during these tough times for both. 

#MUFC #UnitedAgainstRacism… ",negative,-0.3944444444444445
Arsenal gonna land the blow to bring us back down to earth aren't they 😶 #mufc,neutral,-0.07777777777777779
"@B_Fernandes8 @ManUtd Hey @B_Fernandes8  please give my boy Lukas a shout out , he is not enjoying his Homeschoolin… ",negative,-0.25
"We can all be mad, embarrassed or disappointed by the performance but to racially abuse someone is too far! The fan… ",negative,-0.4166666666666667
Marcus Rashford has been given additional finishing lessons by #MUFC manager Ole Gunnar Solskjær. There is a view w… ,neutral,0.0
Man city fans need to hype up there  players more there top of the league #mcfc #MUFC #PL,positive,0.5
"Stat Fact:
@ManUtdWomen defenders @MillieTurner_ and @amy_turner4 are the top 2 in the @BarclaysFAWSL in aerial due… ",positive,0.5
"يقول بول سكولز : ""
فان نيستلروي المهاجم الفتاك الذي لا يرحم احببت طريقته في انهاء الاهداف ، لعبت مع عديد المهاجمين… ",neutral,0.0
📝 — Solskjaer has been impressed with Amad Diallo since joining the squad and is planning to give the teenager his… ,positive,1.0
"@JesseLingard &gt;&gt; @WestHam 

#mufc #Hammers",neutral,0.0
📝 — Manchester United are ready to hand a debut to new signing Amad Diallo on Saturday when the Under-23s play Live… ,neutral,0.16818181818181818
"The UK government say Facebook, Twitter and Instagram are to be held ""legally responsible"" for the kind of racist a… ",positive,0.4
"When Liverpool wins 1st time in 40 days, they're back in the race &amp; while united loses once in over 80 days in leag… ",neutral,0.0
"Respect Kid 👏👏👏
#ManchesterUnited #MUFC
#ManUnited #Tuanzebe 
#UnitedAgainstRacism ",neutral,0.0
@DetRosewood @empireofthekop Almost as bad as Phil “Glass Legs” Jones! 🤪 Slightest breeze &amp; he’s out for 6 weeks. Useless #MUFC,negative,-0.6874999999999999
Manchester United est prêt à lancer Amad Diallo avec les U23 lors du match de PL2 contre Liverpool samedi. [… ,neutral,0.0
"United were ‘offered’ the chance to sign Edin Dzeko this month. However, he didn’t seem interested in signing for h… ",positive,0.25
Martial isn’t playing well but to issue death threats to his wife and child is totally unacceptable. Find the culpr… ,neutral,0.0
📝 — Solskjaer believes Rashford will score more if he develops a broader repertoire when he has chances. Ole has ur… ,positive,0.5
"Good luck at West Ham @JesseLingard, another player who’ll no doubt do well with a fresh start! #MUFC",positive,0.5375
📝 — Rashford has been given additional finishing lessons by Ole Gunnar Solskjaer amid concern he is becoming too pr… ,positive,0.45
(@RobDawsonESPN): Marcus Rashford has been given additional finishing lessons by #MUFC manager Ole Gunnar Solskjær.… ,neutral,0.0
Eye spy with my little eye someone with a ballon d'or clause in their contract 👁 #MUFC ,neutral,-0.1875
"Marcus Rashford a reçu des exercices supplémentaires pour travailler sa finition, les coachs craignant qu'il ne dev… ",neutral,0.0
Pertinent point made by @Chigs_72 #BigTech need to clamp down on abuse in social media - how long can people cope w… ,neutral,-0.05740740740740743
the amount of people in the man utd fanbase i have rattled after a tweet about mourinho is unreal why do they hate… ,neutral,0.0
"(@RobDawsonESPN): #MUFC are ready to hand a debut to new signing Amad Diallo on Saturday, when the Under-23's play… ",neutral,0.16818181818181818
We Love You @JesseLingard #MUFC,positive,0.5
"""#MUFC still lack real leaders, not only did they concede soft goals against Sheffield United there was no strong are… ",neutral,0.02083333333333335
Throwback #MUFC ,neutral,0.0
"Why Arsenal no longer fear games vs. Manchester United.
#ARSMUN #AFC #MUFC ",neutral,0.0
"Marcus Rashford a reçu des exercices supplémentaires pour travailler sa finition, les coachs craignant qu'il ne dev… ",neutral,0.0
"'Best player in the league, probably' - Arsenal boss Mikel Arteta hails Man United star #mufc #ManUtd ",positive,1.0
"#OnThisDay in 2016, @WayneRooney opened the scoring at Pride Park as Manchester United beat Derby County 3-1 in the… ",neutral,0.0
"Breaking News:
 This day last year #brunofernandes became a #MUFC family. Since that day he has been tantalise #Epl… ",neutral,0.0
(🥇) Amad Diallo is in line to be handed a debut when #MUFC you-23's play Liverpool this Saturday. @RobDawsonESPN,neutral,0.0
Marcus Rashford has been given additional finishing lessons by #mufc manager Ole Gunnar Solskjær. There is a view w… ,neutral,0.0
"Hello @OfficialFUFA , an inquiry

Has anyone tried following up on this wonder kid in the #MUFC under 18s team

He… ",neutral,0.0
Manchester United are ready to hand a debut to new signing Amad Diallo on Saturday when the Under-23s play Liverpool! (@RobDawsonESPN) #mufc,neutral,0.18522727272727274
"Manchester United Might Be About To Make Their True Title Advantage Count
#mufc 

",positive,0.35
Solskjær has been impressed with Amad Diallo since joining the squad and is planning to give the teenager his first… ,positive,1.0
#mufc We love the PL cos anyone can beat anyone on their day.  If one team turns up and the other one doesn't.... b… ,neutral,0.1875
"someone called arsenal vs united the ""timeline el clasico"" lool #mufc #manutd",neutral,0.0
"✍️Transfer News &amp; Rumours✍️
#LFC
Shkodran Mustafi ➡️ Liverpool
Shock move after Matip and Fabinho injuries
#AFC
Hou… ",neutral,0.0
‘Man Utd’s fabulous five didn’t create anything’ – Hargreaves questions Fernandes &amp; Co after shock setback #MUFC… ,positive,0.4
🗞️ Eric Bailly was rested for #mufc 's 2-1 home loss to Sheffield United following a car crash. Eric was not drivin… ,neutral,0.0
"Trent had a goal &amp; an assist yesterday... but Liverpool fans are busy promoting Thiago 😂😂
Stop forcing Alcantara on… ",neutral,0.1
Manchester United’s U23s must be the only U23s team ever to sign a player (Amad) for £37m.  #MUFC,neutral,0.0
"West Ham will pay £1.5million loan fee for Jesse Lingard and his £80,000 p/w wages. [men] #mufc",neutral,0.0
"Manchester United est prêt à faire ses débuts chez les jeunes à la nouvelle recrue Amad Diallo samedi, lorsque les… ",neutral,0.0
The difference between Bruno Fernandes and Anthony Martial summed up... 🤷🏻‍♂️ #mufc ,neutral,0.0
"United fans weren’t happy with winning trophies under Jose because the football was terrible.

But they’re now happ… ",neutral,0.10000000000000002
"Amad Diallo in line for under-23 chance this weekend, say ESPN 

#mufc 

",neutral,0.0
I Hope you'll never come back to #MUFC ,neutral,0.0
"Diallo for the under-23s v Liverpool and United at Arsenal in the evening. Saturday could be an interesting day 

#mufc",positive,0.5
Make it happen #MUFC ,neutral,0.0
🔴🔴Facundo Pellisitri is set to leave Manchester United on loan and his deal to Spanish side Alaves could even be fi… ,neutral,0.0
Jesse Lingard is close to agreeing his loan move to join up with David Moyes at West Ham. #MUFC #GGMU ,neutral,0.0
Solskjær a été impressionné par Amad Diallo depuis son arrivée dans l'équipe et prévoit de donner à l'adolescent se… ,neutral,0.0
"Ladies and gentlemen, please take your seats. Introducing #Alexis7…
#GGMU #MUFC 
@Alexis_Sanchez",neutral,0.0
"West Ham will pay £1.5million loan fee for Jesse Lingard and his £80,000 p/w wages. [men] #mufc",neutral,0.0
"📱(Instagram/@JesseLingard)

His move to West Ham is imminent⏳

#MUFC #WHUFC #Transfers #PL ",neutral,0.0
